"attributeName","measurementScale","domain","unit","numberType","attributeLabel","attributeDefinition","definition","formatString","missingValueCode","missingValueCodeExplanation"
"Year",NA,"numericDomain",NA,"natural",NA,NA,NA,NA,NA,NA
"Month",NA,"numericDomain",NA,"natural",NA,NA,NA,NA,NA,NA
"Day",NA,"numericDomain",NA,"natural",NA,NA,NA,NA,NA,NA
"Hours (UTC)",NA,"numericDomain",NA,"whole",NA,NA,NA,NA,NA,NA
"n1",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n2",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n3",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n4",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n5",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n6",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n7",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n8",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n9",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n10",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n11",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n12",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n13",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n14",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n15",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n16",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n17",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n18",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n19",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n20",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n21",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n22",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n23",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n24",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n25",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n26",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n27",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n28",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n29",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n30",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n31",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n32",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n33",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n34",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n35",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n36",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n37",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n38",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n39",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n40",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n41",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n42",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n43",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n44",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n45",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n46",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n47",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n48",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n49",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"n50",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
